,MapDate,ValidStart,ValidEnd,Week
261,2016-12-27,2016-12-27,2017-01-02,261
262,2017-01-03,2017-01-03,2017-01-09,262
263,2017-01-10,2017-01-10,2017-01-16,263
264,2017-01-17,2017-01-17,2017-01-23,264
265,2017-01-24,2017-01-24,2017-01-30,265
266,2017-01-31,2017-01-31,2017-02-06,266
267,2017-02-07,2017-02-07,2017-02-13,267
268,2017-02-14,2017-02-14,2017-02-20,268
269,2017-02-21,2017-02-21,2017-02-27,269
270,2017-02-28,2017-02-28,2017-03-06,270
271,2017-03-07,2017-03-07,2017-03-13,271
272,2017-03-14,2017-03-14,2017-03-20,272
273,2017-03-21,2017-03-21,2017-03-27,273
274,2017-03-28,2017-03-28,2017-04-03,274
275,2017-04-04,2017-04-04,2017-04-10,275
276,2017-04-11,2017-04-11,2017-04-17,276
277,2017-04-18,2017-04-18,2017-04-24,277
278,2017-04-25,2017-04-25,2017-05-01,278
279,2017-05-02,2017-05-02,2017-05-08,279
280,2017-05-09,2017-05-09,2017-05-15,280
281,2017-05-16,2017-05-16,2017-05-22,281
282,2017-05-23,2017-05-23,2017-05-29,282
283,2017-05-30,2017-05-30,2017-06-05,283
284,2017-06-06,2017-06-06,2017-06-12,284
285,2017-06-13,2017-06-13,2017-06-19,285
286,2017-06-20,2017-06-20,2017-06-26,286
287,2017-06-27,2017-06-27,2017-07-03,287
288,2017-07-04,2017-07-04,2017-07-10,288
289,2017-07-11,2017-07-11,2017-07-17,289
290,2017-07-18,2017-07-18,2017-07-24,290
291,2017-07-25,2017-07-25,2017-07-31,291
292,2017-08-01,2017-08-01,2017-08-07,292
293,2017-08-08,2017-08-08,2017-08-14,293
294,2017-08-15,2017-08-15,2017-08-21,294
295,2017-08-22,2017-08-22,2017-08-28,295
296,2017-08-29,2017-08-29,2017-09-04,296
297,2017-09-05,2017-09-05,2017-09-11,297
298,2017-09-12,2017-09-12,2017-09-18,298
299,2017-09-19,2017-09-19,2017-09-25,299
300,2017-09-26,2017-09-26,2017-10-02,300
301,2017-10-03,2017-10-03,2017-10-09,301
302,2017-10-10,2017-10-10,2017-10-16,302
303,2017-10-17,2017-10-17,2017-10-23,303
304,2017-10-24,2017-10-24,2017-10-30,304
305,2017-10-31,2017-10-31,2017-11-06,305
306,2017-11-07,2017-11-07,2017-11-13,306
307,2017-11-14,2017-11-14,2017-11-20,307
308,2017-11-21,2017-11-21,2017-11-27,308
309,2017-11-28,2017-11-28,2017-12-04,309
310,2017-12-05,2017-12-05,2017-12-11,310
311,2017-12-12,2017-12-12,2017-12-18,311
312,2017-12-19,2017-12-19,2017-12-25,312
313,2017-12-26,2017-12-26,2018-01-01,313
314,2018-01-02,2018-01-02,2018-01-08,314
315,2018-01-09,2018-01-09,2018-01-15,315
316,2018-01-16,2018-01-16,2018-01-22,316
317,2018-01-23,2018-01-23,2018-01-29,317
318,2018-01-30,2018-01-30,2018-02-05,318
319,2018-02-06,2018-02-06,2018-02-12,319
320,2018-02-13,2018-02-13,2018-02-19,320
321,2018-02-20,2018-02-20,2018-02-26,321
322,2018-02-27,2018-02-27,2018-03-05,322
323,2018-03-06,2018-03-06,2018-03-12,323
324,2018-03-13,2018-03-13,2018-03-19,324
325,2018-03-20,2018-03-20,2018-03-26,325
326,2018-03-27,2018-03-27,2018-04-02,326
327,2018-04-03,2018-04-03,2018-04-09,327
328,2018-04-10,2018-04-10,2018-04-16,328
329,2018-04-17,2018-04-17,2018-04-23,329
330,2018-04-24,2018-04-24,2018-04-30,330
331,2018-05-01,2018-05-01,2018-05-07,331
332,2018-05-08,2018-05-08,2018-05-14,332
